_id,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd
0,8450,7,5,2003,2003
1,9600,6,8,1976,1976
2,11250,7,5,2001,2002
3,9550,7,5,1915,1970
4,14260,8,5,2000,2000
5,14115,5,5,1993,1995
6,10084,8,5,2004,2005
7,10382,7,6,1973,1973
8,6120,7,5,1931,1950
9,7420,5,6,1939,1950
10,11200,5,5,1965,1965
11,11924,9,5,2005,2006
12,12968,5,6,1962,1962
13,10652,7,5,2006,2007
14,10920,6,5,1960,1960
15,6120,7,8,1929,2001
16,11241,6,7,1970,1970
17,10791,4,5,1967,1967
18,13695,5,5,2004,2004
19,7560,5,6,1958,1965
20,14215,8,5,2005,2006
21,7449,7,7,1930,1950
22,9742,8,5,2002,2002
23,4224,5,7,1976,1976
24,8246,5,8,1968,2001
25,14230,8,5,2007,2007
26,7200,5,7,1951,2000
27,11478,8,5,2007,2008
28,16321,5,6,1957,1997
29,6324,4,6,1927,1950
30,8500,4,4,1920,1950
31,8544,5,6,1966,2006
32,11049,8,5,2007,2007
33,10552,5,5,1959,1959
34,7313,9,5,2005,2005
35,13418,8,5,2004,2005
36,10859,5,5,1994,1995
37,8532,5,6,1954,1990
38,7922,5,7,1953,2007
39,6040,4,5,1955,1955
40,8658,6,5,1965,1965
41,16905,5,6,1959,1959
42,9180,5,7,1983,1983
43,9200,5,6,1975,1980
44,7945,5,6,1959,1959
45,7658,9,5,2005,2005
46,12822,7,5,2003,2003
47,11096,8,5,2006,2006
48,4456,4,5,1920,2008
49,7742,5,7,1966,1966
50,13869,6,6,1997,1997
51,6240,6,6,1934,1950
52,8472,5,5,1963,1963
53,50271,9,5,1981,1987
54,7134,5,5,1955,1955
55,10175,6,5,1964,1964
56,2645,8,5,1999,2000
57,11645,7,5,2004,2004
58,13682,10,5,2006,2006
59,7200,5,7,1972,1972
60,13072,6,5,2004,2004
61,7200,5,7,1920,1996
62,6442,8,5,2006,2006
63,10300,7,6,1921,1950
64,9375,7,5,1997,1998
65,9591,8,5,2004,2005
66,19900,7,5,1970,1989
67,10665,7,5,2003,2003
68,4608,4,6,1945,1950
69,15593,7,4,1953,1953
70,13651,7,6,1973,1973
71,7599,4,6,1982,2006
72,10141,7,5,1998,1998
73,10200,5,7,1954,2003
74,5790,3,6,1915,1950
75,1596,4,5,1973,1973
76,8475,4,7,1956,1956
77,8635,5,5,1948,2001
78,10778,4,5,1968,1968
79,10440,5,6,1910,1981
80,13000,6,6,1968,1968
81,4500,6,5,1998,1998
82,10206,8,5,2007,2007
83,8892,5,5,1960,1960
84,8530,7,5,1995,1996
85,16059,8,5,1991,1992
86,11911,6,5,2005,2005
87,3951,6,5,2009,2009
88,8470,3,2,1915,1982
89,8070,4,5,1994,1995
90,7200,4,5,1950,1950
91,8500,5,3,1961,1961
92,13360,5,7,1921,2006
93,7200,6,6,1910,1998
94,9337,6,5,1997,1997
95,9765,6,8,1993,1993
96,10264,7,5,1999,1999
97,10921,4,5,1965,1965
98,10625,5,5,1920,1950
99,9320,4,5,1959,1959
100,10603,6,7,1977,2001
101,9206,6,5,1985,1985
102,7018,5,5,1979,1979
103,10402,7,5,2009,2009
104,7758,7,4,1931,1950
105,9375,8,5,2003,2004
106,10800,4,7,1885,1995
107,6000,5,5,1948,1950
108,8500,5,7,1919,2005
109,11751,6,6,1977,1977
110,9525,6,4,1954,1972
111,7750,7,5,2000,2000
112,9965,7,5,2007,2007
113,21000,6,5,1953,1953
114,7259,6,8,1945,2002
115,3230,6,5,1999,1999
116,11616,5,5,1962,1962
117,8536,5,5,2006,2007
118,12376,7,5,1990,1990
119,8461,6,5,2005,2006
120,21453,6,5,1969,1969
121,6060,4,5,1939,1950
122,9464,6,7,1958,1958
123,7892,6,5,1993,1993
124,17043,6,5,1979,1998
125,6780,6,8,1935,1982
126,4928,6,5,1976,1976
127,4388,5,7,1930,1950
128,7590,6,5,1966,1966
129,8973,5,7,1958,1991
130,14200,7,6,1966,1966
131,12224,6,5,2000,2000
132,7388,5,6,1959,2002
133,6853,8,5,2001,2002
134,10335,5,6,1968,1993
135,10400,7,6,1970,1970
136,10355,5,5,1967,1967
137,11070,7,5,1988,1989
138,9066,8,5,1999,2000
139,15426,6,5,1997,1997
140,10500,4,5,1971,1971
141,11645,7,5,2005,2005
142,8520,5,4,1952,1952
143,10335,7,5,1999,1999
144,9100,5,5,1963,1963
145,2522,6,5,2004,2006
146,6120,5,7,1931,1993
147,9505,7,5,2001,2001
148,7500,7,5,2004,2005
149,6240,5,4,1936,1950
150,10356,5,6,1975,1975
151,13891,8,5,2007,2008
152,14803,6,5,1971,1971
153,13500,6,7,1960,1975
154,11340,6,5,1923,1950
155,9600,6,5,1924,1950
156,7200,5,7,1950,1950
157,12003,8,5,2009,2010
158,12552,7,5,2004,2005
159,19378,7,5,2005,2006
160,11120,6,6,1984,1984
161,13688,9,5,2003,2004
162,12182,7,5,2005,2005
163,5500,4,6,1956,1956
164,5400,6,7,1926,2004
165,10106,5,7,1940,1999
166,10708,5,5,1955,1993
167,10562,8,5,2007,2007
168,8244,7,5,2004,2004
169,16669,8,6,1981,1981
170,12358,5,6,1941,1950
171,31770,6,5,1960,1960
172,5306,7,7,1987,1987
173,10197,6,5,1961,1961
174,12416,6,5,1986,1986
175,12615,6,7,1950,2001
176,10029,6,5,1988,1989
177,13650,5,5,1958,1958
178,17423,9,5,2008,2009
179,8520,5,6,1923,2006
180,2117,6,5,2000,2000
181,7588,7,6,1920,1950
182,9060,5,6,1957,2006
183,11426,7,5,2003,2003
184,7438,5,8,1908,1991
185,22950,10,9,1892,1993
186,9947,7,5,1990,1991
187,10410,5,7,1916,1987
188,7018,5,5,1979,1979
189,4923,8,5,2001,2002
190,10570,8,8,1932,1994
191,7472,7,9,1972,2004
192,9017,7,5,1999,1999
193,2522,7,5,2004,2004
194,7180,5,7,1972,1972
195,2280,6,6,1976,1976
196,9416,7,5,2007,2007
197,25419,8,4,1918,1990
198,5520,6,6,1912,1950
199,9591,8,5,2004,2005
200,8546,4,5,2003,2004
201,10125,6,6,1977,1977
202,7000,6,6,1924,1950
203,4438,6,5,2004,2004
204,3500,5,7,1947,1950
205,11851,7,5,1990,1990
206,13673,5,5,1962,1962
207,12493,4,5,1960,1960
208,14364,7,5,1988,1989
209,8250,6,7,1964,1964
210,5604,5,6,1925,1950
211,10420,6,5,2009,2009
212,8640,7,5,2009,2009
213,13568,5,5,1995,1995
214,10900,6,7,1977,1977
215,10011,5,6,1957,1996
216,8450,7,5,2004,2004
217,9906,4,4,1925,1950
218,15660,7,9,1939,2006
219,3010,7,5,2005,2006
220,8990,7,5,2006,2006
221,8068,6,5,2002,2002
222,11475,6,6,1975,1975
223,10500,4,6,1971,1971
224,13472,10,5,2003,2003
225,1680,5,5,1971,1971
226,9950,7,5,1995,1995
227,1869,6,6,1970,1970
228,8521,5,5,1967,1967
229,3182,7,5,2005,2006
230,8760,6,6,1959,1959
231,15138,8,5,1995,1996
232,1680,6,5,1972,1972
233,10650,5,6,1976,1976
234,7851,6,5,2002,2002
235,1680,6,3,1971,1971
236,8773,7,5,2004,2004
237,9453,7,7,1993,2003
238,12030,8,5,2007,2007
239,8741,6,4,1945,1950
240,9000,8,5,2008,2008
241,3880,5,9,1945,1997
242,5000,5,4,1900,1950
243,10762,6,6,1980,1980
244,8880,7,5,1994,2002
245,10400,7,5,1988,1988
246,9142,6,8,1910,1950
247,11310,6,5,1954,1954
248,11317,7,5,2003,2003
249,159000,6,7,1958,2006
250,5350,3,2,1940,1966
251,4750,8,5,2006,2007
252,8366,6,5,2004,2004
253,9350,6,7,1964,1991
254,8400,5,6,1957,1957
255,8738,7,5,1999,1999
256,8791,6,5,2003,2003
257,8814,7,5,2006,2006
258,12435,7,5,2001,2001
259,12702,5,5,1956,1956
260,19296,6,5,1962,1962
261,9588,8,5,2007,2007
262,8471,6,7,1977,1995
263,5500,5,7,1929,2001
264,5232,5,5,1925,2004
265,12090,6,6,1981,1981
266,11207,6,5,1997,1997
267,8400,5,8,1939,1997
268,6900,5,6,1940,1955
269,7917,6,7,1976,1976
270,10728,8,5,2006,2006
271,39104,7,7,1954,2005
272,11764,8,7,1999,2007
273,9600,6,6,1958,1988
274,8314,5,7,1982,1982
275,7264,7,7,1925,2007
276,9196,7,5,2003,2003
277,19138,4,5,1951,1951
278,14450,9,5,2006,2007
279,10005,7,5,1977,1977
280,11287,7,6,1989,1989
281,7200,6,5,2006,2006
282,5063,7,5,2007,2008
283,9612,8,5,2008,2009
284,8012,6,5,1992,1992
285,4251,7,5,2006,2007
286,9786,6,7,1962,1981
287,8125,4,4,1971,1971
288,9819,5,5,1967,1967
289,8730,6,7,1915,2003
290,15611,8,5,2006,2006
291,5687,5,6,1912,2000
292,11409,5,4,1949,2008
293,16659,7,7,1977,1994
294,9600,6,5,1953,1953
295,7937,6,6,1984,1984
296,13710,5,5,1950,1950
297,7399,7,5,1997,1998
298,11700,6,6,1968,1968
299,14000,6,8,1950,2004
300,15750,5,5,1953,1953
301,16226,8,5,1998,1999
302,13704,7,5,2001,2002
303,9800,5,7,1972,1972
304,18386,7,9,1880,2002
305,10386,8,5,2004,2005
306,13474,7,5,1990,1991
307,7920,6,7,1920,1950
308,12342,4,5,1940,1950
309,12378,9,5,2003,2004
310,7685,6,5,1993,1994
311,8000,6,6,1948,2002
312,7800,5,7,1939,1950
313,215245,7,5,1965,1965
314,9600,7,7,1925,1990
315,7795,7,5,2004,2005
316,13005,7,7,1980,1980
317,9000,8,5,2006,2006
318,9900,7,5,1993,1993
319,14115,7,5,1980,1980
320,16259,9,5,2006,2006
321,12099,8,5,2004,2004
322,10380,7,5,1986,1987
323,5820,3,8,1955,2005
324,11275,7,7,1967,2007
325,5000,5,6,1941,1950
326,10846,8,5,1993,1993
327,11600,6,5,1960,1960
328,11888,6,6,1916,1994
329,6402,5,5,1920,1950
330,10624,5,4,1964,1964
331,8176,5,6,1958,1992
332,10655,8,5,2003,2004
333,8198,7,5,2004,2004
334,9042,6,5,1998,1998
335,164660,5,6,1965,1965
336,14157,9,5,2005,2006
337,9135,7,5,2002,2003
338,14145,7,7,1984,1998
339,12400,6,7,1958,1998
340,14191,8,5,2002,2002
341,8400,4,4,1950,1950
342,8544,3,4,1949,1950
343,8849,9,5,2005,2005
344,2592,5,3,1976,1976
345,6435,6,5,1939,1950
346,12772,6,8,1960,1998
347,17600,6,5,1960,1960
348,2448,7,5,2003,2004
349,20431,9,5,2005,2006
350,7820,9,5,2007,2007
351,5271,7,5,1986,1986
352,9084,5,6,1941,1950
353,8520,6,8,1928,2003
354,8400,6,5,1940,2000
355,11249,6,5,1995,1995
356,9248,6,6,1992,1992
357,4224,5,5,1976,1976
358,6930,5,4,1958,1958
359,12011,8,5,1998,1998
360,7540,6,6,1978,1978
361,9144,5,5,1940,1982
362,7301,7,5,2003,2003
363,1680,6,8,1972,2007
364,18800,6,5,1976,1976
365,10690,5,7,1920,1997
366,9500,6,5,1963,1963
367,9150,6,5,1962,1962
368,7800,5,6,1954,1954
369,9830,5,7,1959,2006
370,8121,6,5,2000,2000
371,17120,4,4,1959,1959
372,7175,6,5,1984,1984
373,10634,5,6,1953,1953
374,8200,7,5,2003,2004
375,10020,1,1,1922,1950
376,8846,5,5,1996,1996
377,11143,8,5,2004,2005
378,11394,9,2,2010,2010
379,8123,6,5,2000,2000
380,5000,5,6,1924,1950
381,7200,7,5,2006,2006
382,9245,7,5,2006,2006
383,9000,6,3,1928,1950
384,53107,6,5,1992,1992
385,3182,8,5,2004,2005
386,8410,5,3,1910,1996
387,7200,6,6,1976,1976
388,9382,7,5,1999,2000
389,12474,10,5,2007,2008
390,8405,5,8,1900,1950
391,12209,6,5,2001,2002
392,8339,5,7,1959,1959
393,7446,4,5,1941,1950
394,10134,5,6,1940,1950
395,9571,5,6,1956,1956
396,7200,5,5,1972,1972
397,7590,5,5,1962,1962
398,8967,5,2,1920,1950
399,8125,7,5,2006,2007
400,14963,8,5,1996,1996
401,8767,7,5,2005,2005
402,10200,5,8,1940,1997
403,12090,8,5,1998,1998
404,10364,6,5,1995,1996
405,9991,4,4,1976,1993
406,10480,6,5,1936,1950
407,15576,6,7,1915,1976
408,14154,7,5,2006,2006
409,10800,8,5,2007,2008
410,9571,5,3,1958,1958
411,34650,5,5,1955,1955
412,4403,7,5,2009,2009
413,8960,5,6,1927,1950
414,11228,7,5,1993,1993
415,8899,7,5,2007,2007
416,7844,6,7,1978,1978
417,22420,6,6,1918,1950
418,8160,5,6,1940,1950
419,8450,5,6,1968,1968
420,7060,7,5,1997,1998
421,16635,6,7,1977,2000
422,21750,5,5,1954,1954
423,9200,8,5,1998,1998
424,9000,6,5,1956,1956
425,3378,7,8,1946,1992
426,12800,7,5,1989,1989
427,8593,4,6,1957,1957
428,6762,7,5,2007,2007
429,11457,6,5,1988,1988
430,1680,6,5,1971,1971
431,5586,6,7,1920,1998
432,1920,5,5,1971,1971
433,10839,6,5,1997,1998
434,1890,4,7,1972,1972
435,10667,7,6,1996,1996
436,4400,6,8,1920,1950
437,6000,6,7,1926,2004
438,4280,5,6,1913,2002
439,12354,6,8,1920,2000
440,15431,10,5,2008,2008
441,12108,4,4,1955,1955
442,6240,5,7,1930,1992
443,3922,7,5,2006,2007
444,8750,7,5,1994,1995
445,9855,6,5,1956,1956
446,16492,6,6,1966,2002
447,11214,7,5,1998,1999
448,8600,6,6,1937,1950
449,6000,3,7,1948,2002
450,5684,6,8,1930,2005
451,70761,7,5,1975,1975
452,9303,6,5,1996,1997
453,9000,8,5,2008,2008
454,9297,5,5,1976,1976
455,9600,7,6,1973,1973
456,4571,5,5,1916,1950
457,53227,4,6,1954,1994
458,5100,8,7,1925,1996
459,7015,5,4,1950,1950
460,8004,8,5,2009,2009
461,7200,7,9,1936,2007
462,8281,5,5,1965,1965
463,11988,6,7,1934,1995
464,8430,5,5,1978,1978
465,3072,7,5,2004,2004
466,10628,7,5,1970,1970
467,9480,5,7,1942,1995
468,11428,8,5,2006,2006
469,9291,6,5,1993,1993
470,6820,8,5,1985,1985
471,11952,7,6,1977,1977
472,3675,6,5,2005,2005
473,14977,8,5,2006,2007
474,5330,8,5,2000,2000
475,8480,5,6,1963,1963
476,13125,6,5,1997,1998
477,13693,9,5,2006,2006
478,10637,8,5,2007,2008
479,5925,4,7,1937,2000
480,16033,9,5,2004,2005
481,11846,9,5,2003,2004
482,2500,7,8,1915,2005
483,4500,6,5,1998,1998
484,7758,5,7,1962,2001
485,9600,5,7,1950,2007
486,10289,5,7,1965,1965
487,12243,5,6,1971,1971
488,10800,5,4,1900,1970
489,1526,4,8,1970,2002
490,2665,5,6,1976,1976
491,9490,6,7,1941,1950
492,15578,6,5,2006,2006
493,7931,5,6,1960,1960
494,5784,5,8,1938,1996
495,7879,4,5,1920,1950
496,12692,8,5,1992,1993
497,9120,7,6,1925,1950
498,7800,5,7,1967,2004
499,7535,5,7,1958,1985
500,1890,6,5,1973,1973
501,9803,7,5,2005,2005
502,9170,5,7,1965,1965
503,15602,7,8,1959,1997
504,2308,6,5,1974,1974
505,7596,5,5,1952,1952
506,9554,8,5,1993,1994
507,7862,6,5,2009,2009
508,9600,7,9,1928,2005
509,9600,5,6,1959,1959
510,14559,5,7,1951,2000
511,6792,7,5,2005,2006
512,9100,5,5,1958,1958
513,9187,6,5,1983,1983
514,10594,5,5,1926,1950
515,12220,10,5,2009,2009
516,10448,6,6,1972,1972
517,10208,7,5,1996,1997
518,9531,6,5,1998,1998
519,10918,7,9,1926,2004
520,10800,4,7,1900,2000
521,11988,6,6,1957,1957
522,5000,6,7,1947,1950
523,40094,10,5,2007,2008
524,11787,7,5,1996,1997
525,7500,7,5,2005,2005
526,13300,5,7,1956,2000
527,14948,9,5,2008,2008
528,9098,4,7,1920,2002
529,32668,6,3,1957,1975
530,10200,6,5,1988,1989
531,6155,6,8,1920,1999
532,7200,5,7,1955,2007
533,5000,1,3,1946,1950
534,9056,8,5,2004,2004
535,7000,5,7,1910,1991
536,8924,7,5,1998,1999
537,12735,4,5,1972,1972
538,11553,5,5,1968,1968
539,11423,8,5,2001,2002
540,14601,9,5,2006,2006
541,11000,8,5,2000,2000
542,10140,7,5,1998,1999
543,4058,7,5,1998,1998
544,17104,7,5,2006,2006
545,13837,7,5,1988,1988
546,8737,6,7,1923,1950
547,7244,5,7,1970,1970
548,8235,5,7,1955,1995
549,9375,7,5,2003,2004
550,4043,6,6,1977,1977
551,6000,5,6,1957,1957
552,11146,8,5,2006,2006
553,8777,4,5,1949,2003
554,10625,7,5,2003,2004
555,6380,5,6,1922,1950
556,14850,5,5,1957,1957
557,11040,4,6,1920,1950
558,21872,7,5,1996,1997
559,3196,7,5,2003,2004
560,11341,5,6,1957,1996
561,10010,5,5,1974,1975
562,13907,5,6,1940,1969
563,21780,6,7,1918,1950
564,13346,7,5,1992,2000
565,6858,6,4,1915,1950
566,11198,9,5,2005,2007
567,10171,7,5,2004,2004
568,12327,8,8,1983,2009
569,7032,5,5,1979,1979
570,13101,5,5,1965,1965
571,7332,6,6,1959,1959
572,13159,7,5,2009,2009
573,9967,7,5,2000,2000
574,10500,5,7,1971,2005
575,8480,5,5,1947,1950
576,6292,7,7,1928,1950
577,11777,5,6,1966,1966
578,3604,7,5,2007,2007
579,12150,5,5,1954,1954
580,14585,6,6,1960,1987
581,12704,8,5,2008,2009
582,11841,6,5,1990,1990
583,13500,10,9,1893,2000
584,6120,4,7,1935,1995
585,11443,8,5,2005,2006
586,10267,6,7,1918,2000
587,8740,5,6,1982,1982
588,25095,5,8,1968,2003
589,9100,5,6,1930,1960
590,8320,7,5,2004,2004
591,13478,10,5,2008,2008
592,6600,5,8,1982,2003
593,4435,6,5,2003,2003
594,7990,5,6,1975,1975
595,11302,8,5,2005,2006
596,3600,6,7,1910,1993
597,3922,7,5,2006,2007
598,12984,5,6,1977,1977
599,1950,6,6,1980,1980
600,10927,8,5,2005,2005
601,9000,6,6,1937,1950
602,10041,8,5,1992,1992
603,3182,7,5,2004,2005
604,12803,7,5,2002,2002
605,13600,7,6,1965,1990
606,12464,5,5,1996,1996
607,7800,5,8,1948,2002
608,12168,8,6,1934,1998
609,7943,4,5,1961,1961
610,11050,9,5,2000,2000
611,10395,6,6,1978,1978
612,11885,8,5,2001,2001
613,8402,5,5,2007,2007
614,1491,4,6,1972,1972
615,8800,6,7,1963,1963
616,7861,6,5,2002,2003
617,7227,6,6,1954,1954
618,11694,9,5,2007,2007
619,12244,8,5,2003,2003
620,8248,3,3,1914,1950
621,10800,6,7,1974,1997
622,7064,5,6,1977,1977
623,2117,6,5,2000,2000
624,10400,6,5,1972,1972
625,10000,6,6,1962,1962
626,12342,5,5,1960,1978
627,9600,6,6,1955,1972
628,11606,5,5,1969,1969
629,9020,6,5,1964,1964
630,9000,5,6,1880,1991
631,4590,8,5,2006,2006
632,11900,7,5,1977,1977
633,9250,5,7,1954,2005
634,6979,6,5,1980,1980
635,10896,6,7,1914,1995
636,6120,2,3,1936,1950
637,6000,5,4,1954,1954
638,8777,5,7,1910,1950
639,3982,8,5,2006,2006
640,12677,8,5,2003,2004
641,7050,7,5,2001,2001
642,13860,8,7,1972,1995
643,10793,5,5,1969,1969
644,9187,9,5,2009,2009
645,10530,6,5,1971,1971
646,7200,5,5,1950,1950
647,10452,6,5,1953,1953
648,7700,6,5,1966,1966
649,1936,4,6,1970,1970
650,8125,7,6,2007,2007
651,9084,4,5,1940,1950
652,8750,7,5,1996,1996
653,10320,6,7,1906,1995
654,10437,8,6,1995,1995
655,1680,6,5,1971,1971
656,10007,5,7,1959,2006
657,7200,7,6,1931,2000
658,17503,6,5,1948,1950
659,9937,5,7,1964,1999
660,12384,7,7,1976,1976
661,46589,8,7,1994,2005
662,13560,6,3,1968,1968
663,10012,4,5,1972,1972
664,20896,8,5,2005,2006
665,11194,8,5,2000,2000
666,18450,6,5,1965,1979
667,8125,6,5,1994,1998
668,14175,5,6,1956,1987
669,11600,4,5,1922,1950
670,8633,6,5,2005,2005
671,6629,6,6,1925,1950
672,11250,6,6,1977,1977
673,14442,6,7,1957,2004
674,9200,6,6,1965,1965
675,2289,6,6,1978,1978
676,9600,4,2,1900,1950
677,9022,5,8,1924,2006
678,11844,8,5,2008,2008
679,9945,5,5,1961,1961
680,8012,6,5,1980,1980
681,4500,5,5,1932,2000
682,2887,6,5,1996,1997
683,11248,9,5,2002,2002
684,16770,7,5,1998,1998
685,5062,7,5,1984,1984
686,10207,7,6,2007,2007
687,5105,7,5,2004,2004
688,8089,8,6,2007,2007
689,7577,6,5,2005,2006
690,4426,6,5,2004,2004
691,21535,10,6,1994,1995
692,26178,7,5,1989,1990
693,5400,5,6,1921,1968
694,6120,5,6,1936,1950
695,13811,6,6,1987,1987
696,6000,5,7,1921,1950
697,6420,5,7,1952,1952
698,8450,5,8,1965,2009
699,4282,7,5,2004,2004
700,14331,8,5,2002,2002
701,9600,7,5,1969,1969
702,12438,8,5,2006,2006
703,7630,5,9,1900,1996
704,8400,7,5,2004,2005
705,5600,4,5,1930,1950
706,115149,7,5,1971,2002
707,6240,8,5,2006,2006
708,9018,7,5,2007,2007
709,7162,5,7,1966,1966
710,4130,3,6,1935,2003
711,8712,4,7,1900,1950
712,4671,8,5,1988,1989
713,9873,4,5,1970,1970
714,13517,6,8,1976,2005
715,10140,6,5,1974,1974
716,10800,7,8,1890,1998
717,10000,5,6,1973,2000
718,10542,7,5,1993,1994
719,9920,5,6,1969,1969
720,6563,8,5,1985,1985
721,4426,6,5,2004,2004
722,8120,4,7,1970,1970
723,8172,4,6,1954,1972
724,13286,9,5,2007,2008
725,6960,4,6,1970,1970
726,21695,6,9,1988,2007
727,7314,7,5,2007,2007
728,11475,5,5,1958,1958
729,6240,4,5,1925,1950
730,5389,8,5,1995,1996
731,9590,7,5,2003,2003
732,11404,7,5,1998,1999
733,10000,5,6,1961,1983
734,8978,5,5,1968,1968
735,10800,7,7,1914,1970
736,8544,3,4,1950,1950
737,10463,8,5,2005,2005
738,10800,5,5,1987,1988
739,9313,7,5,2004,2004
