_id,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd
740,9600,5,7,1910,2002
741,6768,6,8,1961,1996
742,8450,7,5,2000,2001
743,12886,5,6,1963,1999
744,5395,8,5,1993,1993
745,8963,8,9,1976,1996
746,8795,7,5,2000,2000
747,11700,7,7,1880,2003
748,10593,7,5,1996,1996
749,8405,4,3,1945,1950
750,8800,4,7,1910,2004
751,7750,7,5,2003,2003
752,9236,6,5,1997,1997
753,10240,8,5,2005,2005
754,7930,6,8,1969,2005
755,3230,6,5,1999,1999
756,10769,8,5,2007,2007
757,11616,6,5,1978,1978
758,2280,7,5,1999,1999
759,12257,8,5,1995,1995
760,9100,6,6,1959,1959
761,6911,5,5,1924,1950
762,8640,7,5,2009,2009
763,9430,8,5,1999,1999
764,9549,8,5,1995,1996
765,14587,9,5,2008,2008
766,10421,7,5,1988,1988
767,12508,6,7,1940,1985
768,9100,7,5,2004,2005
769,53504,8,5,2003,2003
770,7252,5,5,1982,1982
771,8877,4,5,1951,1951
772,7819,6,5,1976,1976
773,10150,5,5,1958,1958
774,14226,8,5,2006,2006
775,4500,6,5,1998,1998
776,11210,7,5,2005,2006
777,13350,5,5,1974,1974
778,8400,5,5,1977,1977
779,10530,6,5,1977,1977
780,7875,7,5,1995,1996
781,7153,6,5,1992,1992
782,16285,7,5,2001,2002
783,9101,5,6,1978,1978
784,6300,6,6,1914,2001
785,9790,6,5,1967,1967
786,10800,5,6,1915,1950
787,10142,7,5,2004,2004
788,6000,4,7,1954,2000
789,12205,6,8,1966,2007
790,3182,7,5,2005,2006
791,11333,6,5,1976,1976
792,9920,7,5,1996,1997
793,9158,8,5,2007,2007
794,10832,7,5,1994,1996
795,8400,6,6,1980,1981
796,8197,6,5,1977,1977
797,7677,5,5,1953,1953
798,13518,9,5,2008,2009
799,7200,5,7,1937,1950
800,12798,6,5,1997,1997
801,4800,4,7,1916,1990
802,8199,7,5,2005,2005
803,13891,9,5,2008,2009
804,9000,5,5,1954,1954
805,12274,7,5,2008,2008
806,9750,5,5,1967,1967
807,21384,5,6,1923,2004
808,13400,5,5,1966,1966
809,8100,5,5,1898,1965
810,10140,6,6,1974,1999
811,4438,6,5,2004,2004
812,8712,5,5,1952,1952
813,9750,6,6,1958,1958
814,8248,5,7,1918,1950
815,12137,7,5,1998,1998
816,11425,5,6,1954,1954
817,13265,8,5,2002,2002
818,8816,6,7,1971,1971
819,6371,7,5,2009,2010
820,7226,7,5,2003,2003
821,6000,4,4,1953,1953
822,12394,7,5,2003,2003
823,9900,6,7,1940,1950
824,11216,8,5,2006,2006
825,14803,10,5,2007,2008
826,6130,5,6,1924,1950
827,8529,7,5,2001,2001
828,28698,5,5,1967,1967
829,2544,7,5,2005,2005
830,11900,6,5,1957,1957
831,3180,7,5,2005,2005
832,9548,7,6,2003,2003
833,10004,6,6,1964,1964
834,7875,5,6,1961,1961
835,9600,4,7,1950,1995
836,8100,5,6,1948,1973
837,1680,6,5,1973,1973
838,9525,5,6,1995,2006
839,11767,5,6,1946,1995
840,12155,6,8,1925,1950
841,10440,5,8,1904,2002
842,9020,6,7,1966,1966
843,8000,5,4,1961,1961
844,12665,5,8,1915,1950
845,16647,5,5,1975,1981
846,9317,7,5,1993,1993
847,15523,5,6,1972,1972
848,45600,6,8,1908,1997
849,9600,6,7,1976,1994
850,4435,6,5,2003,2003
851,3196,8,5,2003,2003
852,7128,7,5,1941,1950
853,12095,6,6,1964,1964
854,17920,5,4,1955,1974
855,6897,5,8,1962,2010
856,10970,6,6,1978,1978
857,8125,6,5,1994,1995
858,10400,7,5,1976,1976
859,11029,6,7,1968,1984
860,7642,7,8,1918,1998
861,11625,5,4,1965,1965
862,9672,6,5,1984,1985
863,7931,5,5,1959,1959
864,8640,7,5,2007,2008
865,8750,5,6,1970,1970
866,10656,8,5,2006,2007
867,6970,4,5,1961,1961
868,14762,5,6,1948,1950
869,9938,7,5,1993,1994
870,6600,5,5,1962,1962
871,8750,6,5,1998,1998
872,8892,5,7,1953,1996
873,12144,5,7,1949,1950
874,5720,5,6,1941,1950
875,9000,8,5,2007,2007
876,25286,4,5,1963,1963
877,8834,9,5,2004,2005
878,11782,5,7,1961,1995
879,7000,5,8,1978,2005
880,7024,5,5,2005,2006
881,13758,7,5,1990,1991
882,9636,6,5,1992,1993
883,6204,4,5,1912,1950
884,7150,5,5,1967,1967
885,5119,9,5,1999,2000
886,8393,5,5,1959,2005
887,16466,5,7,1955,1955
888,15865,8,6,1970,1970
889,12160,6,4,1953,1953
890,8064,5,7,1949,2006
891,11184,6,5,1978,1978
892,8414,6,8,1963,2003
893,13284,5,5,1954,1954
894,7018,5,5,1979,1979
895,7056,6,5,1963,1963
896,8765,4,6,1936,1950
897,7018,5,5,1979,1979
898,12919,9,5,2009,2010
899,6993,5,7,1961,1994
900,7340,4,6,1971,1971
901,8712,5,7,1957,2000
902,7875,7,5,2003,2003
903,14859,7,5,2006,2006
904,6173,5,6,1967,1967
905,9920,5,5,1954,1954
906,13501,8,5,2006,2006
907,11500,7,7,1936,1987
908,8885,5,5,1983,1983
909,12589,6,5,2005,2005
910,11600,5,5,1960,1960
911,9286,5,7,1977,1989
912,6120,5,7,1925,1950
913,6270,5,6,1949,1950
914,3000,6,5,2009,2009
915,2001,4,5,1970,1970
916,9000,2,3,1949,1950
917,17140,4,6,1956,1956
918,13125,7,5,1991,1991
919,11029,6,8,1958,2002
920,8462,6,5,1994,1994
921,8777,5,7,1900,2003
922,10237,6,5,2005,2006
923,8012,6,5,1993,1994
924,10240,6,6,1980,1980
925,15611,5,6,1977,1977
926,11999,8,5,2003,2004
927,9900,7,5,1968,1968
928,11838,8,5,2001,2001
929,13006,7,5,1997,1997
930,8925,8,5,2007,2007
931,9100,5,6,1965,1965
932,11670,9,5,2006,2006
933,8487,7,5,2004,2004
934,27650,7,7,1960,2007
935,5825,4,5,1926,1953
936,10083,7,5,2003,2003
937,9675,7,5,2005,2005
938,8760,7,5,2006,2006
939,24090,7,7,1940,1950
940,12640,6,5,1976,1976
941,8755,7,5,1999,1999
942,7711,4,3,1977,1977
943,25000,5,4,1967,1967
944,14375,6,6,1958,1958
945,8820,5,6,1890,1996
946,8163,5,6,1959,1959
947,14536,8,5,2002,2003
948,14006,7,5,2002,2002
949,9360,6,7,1972,2006
950,7200,5,8,1950,2002
951,7800,5,5,1965,1965
952,7200,5,8,1972,2003
953,11075,5,4,1969,1969
954,9400,6,5,1975,1975
955,7136,6,6,1946,1950
956,1300,6,6,1980,1980
957,7420,5,5,1962,1962
958,8450,7,5,2003,2003
959,2572,7,5,1999,1999
960,7207,5,7,1958,2008
961,12227,6,7,1977,1995
962,2308,6,6,1976,1976
963,11923,9,5,2007,2007
964,11316,7,5,2002,2003
965,10237,6,5,2005,2007
966,9600,5,7,1940,1950
967,7390,5,7,1955,1955
968,5925,3,6,1910,1950
969,10382,6,5,1958,1958
970,10800,4,4,1949,1950
971,2268,7,5,2003,2004
972,7892,6,5,1979,1979
973,11639,7,5,2007,2008
974,11414,7,8,1910,1993
975,2651,7,5,2000,2000
976,5900,4,7,1923,1958
977,4274,7,5,2006,2007
978,9450,4,5,1954,1954
979,8816,5,6,1963,1963
980,12122,7,9,1961,2007
981,12203,8,5,1998,1999
982,3182,7,5,2007,2007
983,11250,8,5,2002,2002
984,10125,5,5,1977,1977
985,10880,5,5,1950,1950
986,5310,6,8,1910,2003
987,10159,9,5,2009,2010
988,12046,6,6,1976,1976
989,8125,7,5,2006,2006
990,9452,8,5,1997,1998
991,17671,8,9,1882,1986
992,9760,6,8,1964,1993
993,8846,6,5,2005,2006
994,12456,10,5,2006,2007
995,4712,4,7,1946,1950
996,10659,5,6,1961,1961
997,11717,6,6,1970,1970
998,9786,3,4,1922,1950
999,6762,7,5,2006,2006
1000,10206,3,3,1952,1952
1001,5400,5,6,1920,1950
1002,11957,8,5,2006,2006
1003,11500,5,6,1976,1976
1004,3182,7,5,2005,2006
1005,8385,5,8,1977,1977
1006,12155,6,3,1970,1970
1007,2217,4,4,1970,1970
1008,12118,7,5,2004,2005
1009,6000,5,5,1926,1950
1010,21286,5,5,1948,1950
1011,9825,5,5,1965,1965
1012,10592,6,7,1923,1996
1013,7200,5,4,1910,2006
1014,11664,6,5,1948,1950
1015,8400,8,6,2001,2001
1016,11883,7,5,1996,1996
1017,5814,8,5,1984,1984
1018,10784,7,5,1991,1992
1019,3013,7,5,2005,2005
1020,7024,4,5,2005,2005
1021,7406,7,5,2006,2006
1022,9439,5,5,1930,1950
1023,3182,7,5,2005,2006
1024,15498,8,6,1976,1976
1025,7700,5,5,1972,1972
1026,9300,5,5,1960,1960
1027,9520,8,5,2007,2008
1028,9492,5,5,1941,1950
1029,1680,6,7,1972,1972
1030,7082,5,8,1916,1995
1031,15863,7,3,1920,1970
1032,14541,8,7,1993,1993
1033,8125,7,5,2002,2002
1034,6305,5,7,1938,1950
1035,11500,4,3,1957,1957
1036,12898,9,5,2007,2008
1037,9240,8,5,2001,2002
1038,1533,4,6,1970,2008
1039,1477,4,4,1970,1970
1040,13125,5,4,1957,2000
1041,9130,6,8,1966,2000
1042,5381,6,5,2005,2005
1043,11839,7,5,1990,1990
1044,9600,8,5,1981,1981
1045,13680,3,5,1955,1955
1046,16056,9,5,2005,2006
1047,9245,5,5,1994,1995
1048,21750,5,4,1960,2006
1049,11100,4,7,1946,2006
1050,8993,7,5,2007,2007
1051,11175,7,5,2007,2007
1052,9500,6,6,1964,1978
1053,8562,5,6,1957,2002
1054,11367,8,5,2002,2002
1055,11361,6,5,1976,1976
1056,7052,7,5,2005,2005
1057,29959,7,6,1994,1994
1058,11308,9,5,2008,2008
1059,11275,6,7,1932,1950
1060,4920,8,5,2001,2001
1061,18000,3,4,1935,1950
1062,13600,5,5,1900,1950
1063,6000,6,6,1925,1980
1064,11000,5,6,1966,1966
1065,14000,7,5,1996,1997
1066,7837,6,7,1993,1994
1067,9760,6,6,1964,1964
1068,3964,6,4,1973,1973
1069,9600,5,7,1949,2003
1070,10152,5,5,1956,1956
1071,11700,6,6,1968,1968
1072,7585,5,3,1948,1950
1073,7950,6,6,1977,1977
1074,8556,7,5,2006,2006
1075,13125,7,6,1940,1984
1076,10800,5,8,1936,1989
1077,15870,5,5,1969,1969
1078,4435,6,5,2004,2004
1079,8775,5,5,1994,1994
1080,11040,6,7,1971,2004
1081,7500,5,5,1963,1963
1082,8749,7,5,2002,2002
1083,8800,6,6,1964,1964
1084,13031,6,5,1995,1996
1085,9069,6,6,1992,1992
1086,1974,4,5,1973,1973
1087,10574,8,5,2005,2006
1088,2522,7,5,2004,2004
1089,3316,8,5,2005,2005
1090,8544,3,4,1950,1950
1091,2160,7,5,1999,2000
1092,8400,6,5,1925,1950
1093,9230,5,8,1965,1998
1094,5868,5,7,1956,2000
1095,9317,6,5,2006,2006
1096,6882,6,7,1914,2006
1097,3696,8,5,1986,1986
1098,6000,4,6,1936,1950
1099,11880,7,5,1978,1978
1100,8400,2,5,1920,1950
1101,9758,5,5,1971,1971
1102,7000,5,7,1960,2002
1103,8910,6,6,1959,1959
1104,2016,5,5,1970,1970
1105,12256,8,5,1994,1995
1106,10357,7,5,1990,1991
1107,23257,7,5,2006,2006
1108,8063,6,5,2000,2000
1109,11362,8,5,2004,2005
1110,8000,6,5,1995,1996
1111,10480,7,6,1976,1976
1112,7100,5,7,1957,1957
1113,8923,5,7,1953,2006
1114,5400,5,7,1954,2000
1115,12085,8,5,2007,2007
1116,7750,8,5,2002,2002
1117,9764,5,7,1967,2003
1118,13825,5,6,1958,1987
1119,7560,5,5,1959,1959
1120,8263,6,5,1920,1950
1121,10084,7,5,2005,2006
1122,8926,4,3,1956,1956
1123,9405,5,9,1947,2008
1124,9125,7,5,1992,1992
1125,10434,4,5,1955,1955
1126,3684,7,5,2007,2007
1127,14572,7,5,2004,2004
1128,11796,7,5,2004,2005
1129,7200,5,5,1980,1980
1130,7804,4,3,1928,1950
1131,10712,5,5,1991,1992
1132,9900,6,4,1880,1950
1133,9828,8,5,1995,1995
1134,8773,6,5,1997,1997
1135,6180,6,5,1926,1950
1136,9600,6,5,1950,1950
1137,6342,5,8,1875,1996
1138,9819,6,5,1977,1977
1139,8731,5,5,1920,1950
1140,7350,5,7,1951,1951
1141,10304,5,7,1976,1976
1142,9965,8,5,2006,2007
1143,9000,5,3,1959,1959
1144,12180,4,4,1941,1950
1145,6240,5,6,1928,1950
1146,11200,6,5,1985,1985
1147,12000,7,7,1941,1950
1148,5700,7,7,1926,1950
1149,9000,7,9,1920,1988
1150,8280,6,5,1950,1950
1151,17755,5,4,1959,1959
1152,14115,6,7,1956,2004
1153,5890,6,8,1930,2007
1154,13700,7,6,1965,1988
1155,10768,5,8,1976,2004
1156,9350,5,8,1965,1999
1157,5001,7,5,2007,2008
1158,11932,8,5,2007,2008
1159,9120,6,6,1974,1974
1160,2280,6,5,1978,1978
1161,14778,6,7,1954,2006
1162,8724,5,5,1968,1968
1163,12900,4,4,1969,1969
1164,16157,5,7,1978,1978
1165,9541,7,5,2009,2009
1166,10475,8,5,2008,2008
1167,10852,6,5,2000,2000
1168,13728,6,7,1935,1986
1169,35760,10,5,1995,1996
1170,9880,6,6,1977,1977
1171,9120,6,6,1958,1958
1172,4017,7,5,2006,2007
1173,18030,5,6,1946,1994
1174,16560,6,8,1932,1950
1175,10678,8,5,1992,2000
1176,6951,5,5,1984,1985
1177,3950,6,8,1926,2004
1178,7681,5,6,1921,1950
1179,8335,5,5,1954,1954
1180,11170,7,5,1990,1991
1181,5587,8,5,2008,2008
1182,15623,10,5,1996,1996
1183,10800,5,6,1920,1950
1184,35133,5,4,1963,1963
1185,9738,5,7,1924,1950
1186,10615,3,5,1900,1970
1187,12461,8,5,1994,1995
1188,8935,7,5,2002,2002
1189,7500,7,5,1999,1999
1190,32463,4,4,1961,1975
1191,2645,8,5,1999,2000
1192,9600,5,8,1925,1994
1193,4500,6,5,1999,1999
1194,9364,6,7,1969,1969
1195,8029,6,5,2005,2005
1196,14054,7,5,2006,2006
1197,8850,7,6,1916,1950
1198,9100,7,5,2001,2001
1199,11235,4,5,1963,1979
1200,9353,4,5,1970,1970
1201,10400,7,5,1998,1998
1202,6000,5,8,1925,1997
1203,9750,7,5,2000,2001
1204,10140,5,6,1975,1975
1205,14684,7,7,1990,1991
1206,8900,4,4,1966,1966
1207,9135,6,5,2003,2003
1208,7763,5,7,1962,1980
1209,10182,8,5,2006,2006
1210,11218,6,5,1992,1992
1211,12134,8,7,1988,2005
1212,9340,4,6,1941,1950
1213,10246,4,9,1965,2001
1214,10205,5,5,1962,1962
1215,7094,5,5,1966,1966
1216,8930,6,5,1978,1978
1217,8640,8,5,2009,2009
1218,6240,4,5,1947,1950
1219,1680,6,5,1971,1971
1220,7800,5,5,1964,1964
1221,8250,5,5,1968,1968
1222,10496,6,6,1949,1950
1223,10680,5,3,1951,1951
1224,15384,7,5,2004,2005
1225,10482,6,8,1958,1958
1226,14598,6,5,2007,2007
1227,8872,5,8,1965,2008
1228,8769,9,5,2008,2008
1229,7910,5,5,1960,1960
1230,18890,5,5,1977,1977
1231,7728,5,6,1962,1962
1232,9842,4,5,1962,1962
1233,12160,5,5,1959,1959
1234,8525,5,6,1911,1950
1235,13132,5,5,1914,1950
1236,2628,7,5,2003,2003
1237,12393,7,5,2004,2005
1238,13072,6,5,2005,2005
1239,9037,8,5,2006,2006
1240,8158,7,5,2003,2003
1241,9849,7,6,2007,2007
1242,10625,7,6,1974,1974
1243,13891,10,5,2006,2006
1244,11435,8,7,1929,1950
1245,12090,6,7,1984,2003
1246,8125,7,5,2005,2006
1247,12328,6,5,1976,1976
1248,9600,6,5,1917,1950
1249,7200,5,7,1950,1950
1250,11160,7,5,1968,1968
1251,3136,7,5,2003,2003
1252,9858,5,6,1968,1968
1253,17542,7,7,1974,2003
1254,6931,7,5,2003,2004
1255,6240,6,6,1931,1950
1256,14303,8,5,1994,1994
1257,4060,5,8,1922,1950
1258,9587,7,5,2005,2005
1259,9750,6,8,1969,1969
1260,24682,6,5,1999,1999
1261,9600,5,6,1956,1956
1262,11250,4,5,1957,1989
1263,13515,6,6,1919,1950
1264,4060,6,5,1998,1999
1265,3735,7,5,1999,1999
1266,10120,7,4,1910,1950
1267,13214,9,5,2008,2009
1268,14100,8,9,1935,1997
1269,11344,5,5,1958,1958
1270,23595,7,6,1979,1979
1271,9156,6,7,1968,1968
1272,13526,5,6,1965,1965
1273,11512,6,7,1959,2006
1274,5362,5,6,1910,2003
1275,11345,5,5,1948,1950
1276,12936,6,6,1972,1972
1277,17871,6,5,1967,1976
1278,9473,8,5,2002,2002
1279,7500,4,4,1920,1950
1280,9808,7,5,2002,2002
1281,8049,7,5,1990,1990
1282,8800,5,7,1977,2008
1283,9400,6,5,1971,1971
1284,9638,6,7,1919,1990
1285,6000,6,6,1939,1950
1286,9790,6,5,1963,1963
1287,36500,5,5,1964,1964
1288,5664,8,5,2000,2000
1289,11065,8,5,2006,2006
1290,14112,5,7,1964,1964
1291,1680,5,7,1972,1972
1292,6600,5,4,1892,1965
1293,10140,7,5,1976,1976
1294,8172,5,7,1955,1990
1295,8400,5,5,1968,1968
1296,8700,5,6,1963,1963
1297,3675,6,5,2005,2006
1298,63887,10,5,2008,2008
1299,7500,5,7,1959,1994
1300,10762,7,5,1999,1999
1301,7500,6,7,1942,1950
1302,10120,8,5,1994,1994
1303,8688,7,5,2005,2005
1304,3363,7,5,2004,2004
1305,13173,9,5,2006,2007
1306,6955,7,5,2005,2006
1307,8072,5,5,1994,1995
1308,12000,5,7,1948,2005
1309,7153,6,5,1991,1991
1310,17500,7,8,1959,2002
1311,8814,7,5,2005,2007
1312,9572,8,5,1990,1990
1313,14774,9,5,1999,1999
1314,8190,4,6,1954,1954
1315,11075,6,5,1969,1969
1316,10226,8,5,2008,2008
1317,4230,7,5,2006,2007
1318,14781,8,5,2001,2002
1319,10215,4,5,1954,1954
1320,8400,6,3,1957,1957
1321,6627,3,6,1949,1950
1322,10186,7,5,1992,1992
1323,5330,4,7,1940,1950
1324,9986,8,5,2006,2007
1325,3636,4,4,1922,1950
1326,4270,3,6,1931,2006
1327,6600,5,9,1982,2008
1328,10440,6,7,1920,1950
1329,9084,7,5,1998,1998
1330,10000,8,5,2006,2006
1331,10780,5,5,1976,1976
1332,8877,4,6,1938,1958
1333,7200,5,6,1938,1995
1334,2368,5,6,1970,1970
1335,9650,6,5,1977,1977
1336,9246,5,5,1973,1973
1337,4118,4,4,1941,1950
1338,13450,7,5,2002,2002
1339,9560,5,7,1972,1972
1340,8294,4,5,1971,1971
1341,13695,6,5,2003,2004
1342,9375,8,5,2002,2002
1343,7558,6,6,1928,1950
1344,11103,7,5,2006,2006
1345,6000,4,4,1920,1950
1346,20781,7,7,1968,2003
1347,15306,8,5,2006,2007
1348,16196,7,5,1998,1998
1349,5250,8,5,1872,1987
1350,11643,5,5,1969,1969
1351,9247,6,6,1962,1962
1352,6000,6,9,1937,2000
1353,14720,8,5,1995,1996
1354,10316,7,5,2000,2000
1355,10192,7,6,1968,1992
1356,9477,5,5,1966,1966
1357,12537,5,6,1971,2008
1358,2117,6,5,2000,2000
1359,16737,9,5,2004,2005
1360,9842,5,6,1921,1998
1361,16158,7,5,2005,2005
1362,12513,4,4,1920,2007
1363,8499,6,5,2006,2007
1364,3180,7,5,2005,2005
1365,7500,7,5,2000,2000
1366,9179,7,5,1999,1999
1367,2665,5,6,1977,1977
1368,4435,6,5,2003,2004
1369,10635,8,5,2003,2003
1370,5400,4,6,1920,1950
1371,9600,6,6,1955,1996
1372,9750,7,6,1998,1998
1373,11400,10,5,2001,2002
1374,10625,7,5,2005,2005
1375,10991,8,5,2007,2007
1376,6292,6,5,1930,1950
1377,10998,5,5,1941,1960
1378,1953,6,5,1973,1973
1379,9735,5,5,2006,2007
1380,8212,3,3,1914,1950
1381,12925,6,7,1970,1970
1382,7200,7,7,1920,1950
1383,25339,5,7,1918,2007
1384,9060,6,5,1939,1950
1385,5436,4,8,1922,2007
1386,16692,7,5,1978,1978
1387,8520,6,7,1916,1950
1388,14892,9,5,2006,2007
1389,6000,6,6,1941,1950
1390,9100,7,5,2000,2000
1391,8944,5,5,1967,1967
1392,7838,5,5,1967,1967
1393,10800,6,7,1905,2000
1394,4045,7,5,2006,2006
1395,12665,8,5,2005,2006
1396,57200,5,5,1948,1950
1397,6120,5,8,1920,2004
1398,7200,5,4,1950,1982
1399,6171,6,6,1925,1990
1400,6000,6,7,1929,1950
1401,7415,6,5,2004,2004
1402,6762,7,5,2006,2006
1403,15256,8,5,2007,2007
1404,10410,3,4,1915,1950
1405,3842,8,5,2004,2005
1406,8445,5,7,1972,2007
1407,8780,5,5,1985,1985
1408,7740,4,7,1910,1950
1409,20544,7,6,1986,1991
1410,12420,7,5,2001,2001
1411,9600,6,8,1950,2005
1412,7200,4,5,1949,1950
1413,10994,8,5,2005,2006
1414,13053,6,7,1923,2000
1415,3635,7,5,2007,2007
1416,11340,4,6,1885,1950
1417,16545,8,5,1998,1998
1418,9204,5,5,1963,1963
1419,16381,6,5,1969,1969
1420,11700,6,6,1968,1968
1421,4043,6,5,1977,1977
1422,4435,6,5,2003,2003
1423,19690,6,7,1966,1966
1424,9503,5,5,1958,1983
1425,10721,6,6,1959,1959
1426,10944,7,5,1994,1994
1427,10930,5,6,1945,1950
1428,7200,5,7,1940,1992
1429,12546,6,7,1981,1981
1430,21930,5,5,2005,2005
1431,4928,6,6,1976,1976
1432,10800,4,6,1927,2007
1433,10261,6,5,2000,2000
1434,17400,5,5,1977,1977
1435,8400,6,9,1962,2005
1436,9000,4,6,1971,1971
1437,12444,8,5,2008,2008
1438,7407,6,7,1957,1996
1439,11584,7,6,1979,1979
1440,11526,6,7,1922,1994
1441,4426,6,5,2004,2004
1442,11003,10,5,2008,2008
1443,8854,6,6,1916,1950
1444,8500,7,5,2004,2004
1445,8400,6,5,1966,1966
1446,26142,5,7,1962,1962
1447,10000,8,5,1995,1996
1448,11767,4,7,1910,2000
1449,1533,5,7,1970,1970
1450,9000,5,5,1974,1974
1451,9262,8,5,2008,2009
1452,3675,5,5,2005,2005
1453,17217,5,5,2006,2006
1454,7500,7,5,2004,2005
1455,7917,6,5,1999,2000
1456,13175,6,6,1978,1988
1457,9042,7,9,1941,2006
1458,9717,5,6,1950,1996
1459,9937,5,6,1965,1965
