_id,OverallQual,YearBuilt,YearRemodAdd,GrLivArea,GarageCars,GarageArea,SalePrice
982,7,2007,2007,1266,2,388,159895
983,8,2002,2002,2290,2,779,255900
984,5,1977,1977,1734,2,539,126000
985,5,1950,1950,1164,1,240,125000
986,6,1910,2003,1635,1,255,117000
987,9,2009,2010,1940,3,606,395192
988,6,1976,1976,2030,2,551,195000
989,7,2006,2006,1576,2,614,197000
990,8,1997,1998,2392,3,870,348000
991,8,1882,1986,1742,2,424,168000
992,6,1964,1993,1851,2,440,187000
993,6,2005,2006,1500,2,564,173900
994,10,2006,2007,1718,3,786,337500
995,4,1946,1950,1230,1,305,121600
996,5,1961,1961,1050,1,368,136500
997,6,1970,1970,1442,2,615,185000
998,3,1922,1950,1077,1,210,91000
999,7,2006,2006,1208,2,632,206000
1000,3,1952,1952,944,2,528,82000
1001,5,1920,1950,691,1,216,86000
1002,8,2006,2006,1574,3,824,232000
1003,5,1976,1976,1680,2,528,136905
1004,7,2005,2006,1504,2,457,181000
1005,5,1977,1977,985,1,328,149900
1006,6,1970,1970,1657,2,484,163500
1007,4,1970,1970,1092,1,286,88000
1008,7,2004,2005,1710,2,550,240000
1009,5,1926,1950,1522,0,0,102000
1010,5,1948,1950,1271,1,312,135000
1011,5,1965,1965,1664,0,0,100000
1012,6,1923,1996,1502,1,180,165000
1013,5,1910,2006,1022,1,280,85000
1014,6,1948,1950,1082,1,240,119200
1015,8,2001,2001,1665,2,528,227000
1016,7,1996,1996,1504,2,478,203000
1017,8,1984,1984,1360,2,565,187500
1018,7,1991,1992,1472,2,402,160000
1019,7,2005,2005,1506,2,440,213490
1020,4,2005,2005,1132,2,451,176000
1021,7,2006,2006,1220,2,632,194000
1022,5,1930,1950,1248,1,160,87000
1023,7,2005,2006,1504,2,437,191000
1024,8,1976,1976,2898,2,665,287000
1025,5,1972,1972,882,2,461,112500
1026,5,1960,1960,1264,2,461,167500
1027,8,2007,2008,1646,3,800,293077
1028,5,1941,1950,1376,1,240,105000
1029,6,1972,1972,1218,1,264,118000
1030,5,1916,1995,1928,0,0,160000
1031,7,1920,1970,3082,2,672,197000
1032,8,1993,1993,2520,3,796,310000
1033,7,2002,2002,1654,3,900,230000
1034,5,1938,1950,954,1,240,119750
1035,4,1957,1957,845,1,290,84000
1036,9,2007,2008,1620,3,912,315500
1037,8,2001,2002,2263,2,905,287000
1038,4,1970,2008,1344,0,0,97000
1039,4,1970,1970,630,1,286,80000
1040,5,1957,2000,1803,2,484,155000
1041,6,1966,2000,1632,2,484,173000
1042,6,2005,2005,1306,2,624,196000
1043,7,1990,1990,2329,2,514,262280
1044,8,1981,1981,2524,2,542,278000
1045,3,1955,1955,1733,2,452,139600
1046,9,2005,2006,2868,3,716,556581
1047,5,1994,1995,990,2,672,145000
1048,5,1960,2006,1771,2,336,115000
1049,4,1946,2006,930,1,308,84900
1050,7,2007,2007,1302,2,436,176485
1051,7,2007,2007,1316,2,440,200141
1052,6,1964,1978,1977,2,540,165000
1053,5,1957,2002,1526,1,364,144500
1054,8,2002,2002,1989,2,586,255000
1055,6,1976,1976,1523,2,478,180000
1056,7,2005,2005,1364,2,484,185850
1057,7,1994,1994,1850,2,467,248000
1058,9,2008,2008,2184,3,836,335000
1059,6,1932,1950,1991,2,432,220000
1060,8,2001,2001,1338,2,582,213500
1061,3,1935,1950,894,3,1248,81000
1062,5,1900,1950,2337,2,560,90000
1063,6,1925,1980,1103,2,440,110500
1064,5,1966,1966,1154,2,480,154000
1065,7,1996,1997,2260,2,533,328000
1066,6,1993,1994,1571,2,380,178000
1067,6,1964,1964,1611,2,442,167900
1068,6,1973,1973,2521,2,576,151400
1069,5,1949,2003,893,2,576,135000
1070,5,1956,1956,1048,1,286,135000
1071,6,1968,1968,1556,2,441,154000
1072,5,1948,1950,1456,1,280,91500
1073,6,1977,1977,1426,2,440,159500
1074,7,2006,2006,1240,3,826,194000
1075,7,1940,1984,1740,1,240,219500
1076,5,1936,1989,1466,2,566,170000
1077,5,1969,1969,1096,1,299,138800
1078,6,2004,2004,848,2,420,155900
1079,5,1994,1994,990,1,299,126000
1080,6,1971,2004,1258,2,528,145000
1081,5,1963,1963,1040,1,308,133000
1082,7,2002,2002,1459,2,527,192000
1083,6,1964,1964,1251,1,461,160000
1084,6,1995,1996,1498,2,409,187500
1085,6,1992,1992,996,2,564,147000
1086,4,1973,1973,1092,1,286,83500
1087,8,2005,2006,1953,3,1043,252000
1088,7,2004,2004,1709,2,380,137500
1089,8,2005,2005,1247,2,550,197000
1090,3,1950,1950,1040,2,400,92900
1091,7,1999,2000,1252,2,462,160000
1092,6,1925,1950,1694,2,576,136500
1093,5,1965,1998,1200,2,884,146000
1094,5,1956,2000,936,1,308,129000
1095,6,2006,2006,1314,2,440,176432
1096,6,1914,2006,1355,0,0,127000
1097,8,1986,1986,1088,2,461,170000
1098,4,1936,1950,1324,1,240,128000
1099,7,1978,1978,1601,2,478,157000
1100,2,1920,1950,438,1,246,60000
1101,5,1971,1971,950,1,280,119500
1102,5,1960,2002,1134,1,254,135000
1103,6,1959,1959,1194,2,539,159500
1104,5,1970,1970,1302,2,440,106000
1105,8,1994,1995,2622,2,712,325000
1106,7,1990,1991,1442,2,719,179900
1107,7,2006,2006,2021,2,422,274725
1108,6,2000,2000,1690,2,463,181000
1109,8,2004,2005,1836,3,862,280000
1110,6,1995,1996,1658,2,431,188000
1111,7,1976,1976,1964,2,483,205000
1112,5,1957,1957,816,1,308,129900
1113,5,1953,2006,1008,1,240,134500
1114,5,1954,2000,833,1,326,117000
1115,8,2007,2007,1734,3,928,318000
1116,8,2002,2002,1419,2,527,184100
1117,5,1967,2003,894,2,450,130000
1118,5,1958,1987,1601,1,300,140000
1119,5,1959,1959,1040,1,286,133700
1120,6,1920,1950,1012,1,308,118400
1121,7,2005,2006,1552,3,782,212900
1122,4,1956,1956,960,1,288,112000
1123,5,1947,2008,698,0,0,118000
1124,7,1992,1992,1482,2,392,163900
1125,4,1955,1955,1005,2,672,115000
1126,7,2007,2007,1555,3,660,174000
1127,7,2004,2004,1530,3,630,259000
1128,7,2004,2005,1959,2,434,215000
1129,5,1980,1980,936,2,672,140000
1130,4,1928,1950,1981,2,576,135000
1131,5,1991,1992,974,0,0,93500
1132,6,1880,1950,2210,1,205,117500
1133,8,1995,1995,2020,2,466,239500
1134,6,1997,1997,1600,2,460,169000
1135,6,1926,1950,986,1,180,102000
1136,6,1950,1950,1252,1,288,119000
1137,5,1875,1996,1020,0,0,94000
1138,6,1977,1977,1567,2,714,196000
1139,5,1920,1950,1167,2,495,144000
1140,5,1951,1951,952,2,840,139000
1141,5,1976,1976,1868,2,484,197500
1142,8,2006,2007,2828,3,1052,424870
1143,5,1959,1959,1006,0,0,80000
1144,4,1941,1950,924,1,280,80000
1145,5,1928,1950,1576,1,225,149000
1146,6,1985,1985,1298,2,403,180000
1147,7,1941,1950,1564,1,234,174500
1148,7,1926,1950,1111,1,288,116900
1149,7,1920,1988,1482,2,324,143000
1150,6,1950,1950,932,1,306,124000
1151,5,1959,1959,1466,2,528,149900
1152,6,1956,2004,1811,2,470,230000
1153,6,1930,2007,816,1,432,120500
1154,7,1965,1988,1820,2,492,201800
1155,5,1976,2004,1437,2,528,218000
1156,5,1965,1999,1265,2,502,179900
1157,7,2007,2008,1314,2,626,230000
1158,8,2007,2008,1580,3,830,235128
1159,6,1974,1974,1876,2,540,185000
1160,6,1978,1978,1456,2,440,146000
1161,6,1954,2006,1640,2,924,224000
1162,5,1968,1968,894,2,450,129000
1163,4,1969,1969,1258,2,400,108959
1164,5,1978,1978,1432,2,588,194000
1165,7,2009,2009,1502,2,644,233170
1166,8,2008,2008,1694,3,776,245350
1167,6,2000,2000,1671,2,472,173000
1168,6,1935,1986,2108,2,540,235000
1169,10,1995,1996,3627,3,807,625000
1170,6,1977,1977,1118,1,358,171000
1171,6,1958,1958,1261,2,433,163000
1172,7,2006,2007,1250,2,625,171900
1173,5,1946,1994,3086,0,0,200500
1174,6,1932,1950,2345,2,360,239000
1175,8,1992,2000,2872,2,541,285000
1176,5,1984,1985,923,1,264,119500
1177,6,1926,2004,1224,1,210,115000
1178,5,1921,1950,1343,1,186,154900
1179,5,1954,1954,1124,0,0,93000
1180,7,1990,1991,2514,2,693,250000
1181,8,2008,2008,1652,2,482,392500
1182,10,1996,1996,4476,3,813,745000
1183,5,1920,1950,1130,2,720,120000
1184,5,1963,1963,1572,3,995,186700
1185,5,1924,1950,1221,1,392,104900
1186,3,1900,1970,1699,2,420,95000
1187,8,1994,1995,1624,3,757,262000
1188,7,2002,2002,1660,2,493,195000
1189,7,1999,1999,1804,2,442,189000
1190,4,1961,1975,1622,4,1356,168000
1191,8,1999,2000,1441,2,492,174000
1192,5,1925,1994,1472,1,250,125000
1193,6,1999,1999,1224,2,402,165000
1194,6,1969,1969,1352,1,299,158000
1195,6,2005,2005,1456,2,400,176000
1196,7,2006,2006,1863,3,660,219210
1197,7,1916,1950,1690,1,225,144000
1198,7,2001,2001,1212,2,573,178000
1199,4,1963,1979,1382,2,459,148000
1200,4,1970,1970,864,1,280,116050
1201,7,1998,1998,1779,2,546,197900
1202,5,1925,1997,1348,1,216,117000
1203,7,2000,2001,1630,2,451,213000
1204,5,1975,1975,1074,2,495,153500
1205,7,1990,1991,2196,3,701,271900
1206,4,1966,1966,1056,1,384,107000
1207,6,2003,2003,1700,2,544,200000
1208,5,1962,1980,1283,2,506,140000
1209,8,2006,2006,1660,2,500,290000
1210,6,1992,1992,1845,2,462,189000
1211,8,1988,2005,1752,2,492,164000
1212,4,1941,1950,672,1,234,113000
1213,4,1965,2001,960,1,364,145000
1214,5,1962,1962,999,1,300,134500
1215,5,1966,1966,894,1,384,125000
1216,6,1978,1978,1902,2,539,112000
1217,8,2009,2009,1314,2,552,229456
1218,4,1947,1950,912,0,0,80500
1219,6,1971,1971,1218,0,0,91500
1220,5,1964,1964,912,1,288,115000
1221,5,1968,1968,1211,1,322,134000
1222,6,1949,1950,1846,1,315,143000
1223,5,1951,1951,2136,2,528,137900
1224,7,2004,2005,1490,2,388,184000
1225,6,1958,1958,1138,1,264,145000
1226,6,2007,2007,1933,3,668,214000
1227,5,1965,2008,912,2,576,147000
1228,9,2008,2008,1702,3,1052,367294
1229,5,1960,1960,1507,1,404,127000
1230,5,1977,1977,2620,2,600,190000
1231,5,1962,1962,1190,2,540,132500
1232,4,1962,1962,1224,2,462,101800
1233,5,1959,1959,1188,2,531,142000
1234,5,1911,1950,1964,0,0,130000
1235,5,1914,1950,1784,1,180,138887
1236,7,2003,2003,1626,2,474,175500
1237,7,2004,2005,1948,2,434,195000
1238,6,2005,2005,1141,2,484,142500
1239,8,2006,2006,1484,2,472,265900
1240,7,2003,2003,1768,2,543,224900
1241,7,2007,2007,1689,3,954,248328
1242,7,1974,1974,1173,2,528,170000
1243,10,2006,2006,2076,3,850,465000
1244,8,1929,1950,1517,2,400,230000
1245,6,1984,2003,1868,2,477,178000
1246,7,2005,2006,1553,2,615,186500
1247,6,1976,1976,1034,3,888,169900
1248,6,1917,1950,2058,2,396,129500
1249,5,1950,1950,988,1,276,119000
1250,7,1968,1968,2110,2,522,244000
1251,7,2003,2003,1405,2,478,171750
1252,5,1968,1968,874,1,288,130000
1253,7,1974,2003,2167,2,518,294000
1254,7,2003,2004,1656,2,397,165400
1255,6,1931,1950,1367,1,560,127500
1256,8,1994,1994,1987,2,691,301500
1257,5,1922,1950,864,0,0,99900
1258,7,2005,2005,1166,2,400,190000
1259,6,1969,1969,1054,2,460,151000
1260,6,1999,1999,1675,2,502,181000
1261,5,1956,1956,1050,1,338,128900
1262,4,1957,1989,1788,1,304,161500
1263,6,1919,1950,1824,2,520,180500
1264,6,1998,1999,1337,2,511,181000
1265,7,1999,1999,1452,2,506,183900
1266,7,1910,1950,1889,1,308,122000
1267,9,2008,2009,2018,3,746,378500
1268,8,1935,1997,3447,3,1014,381000
1269,5,1958,1958,1524,1,315,144000
1270,7,1979,1979,1524,2,586,260000
1271,6,1968,1968,1489,2,462,185750
1272,5,1965,1965,935,1,288,137000
1273,6,1959,2006,1357,1,312,177000
1274,5,1910,2003,1250,2,552,139000
1275,5,1948,1950,1920,2,400,137000
1276,6,1972,1972,1395,2,497,162000
1277,6,1967,1976,1724,2,480,197900
1278,8,2002,2002,2031,2,577,237000
1279,4,1920,1950,1128,2,528,68400
1280,7,2002,2002,1573,2,544,227000
1281,7,1990,1990,1339,2,484,180000
1282,5,1977,2008,1040,2,484,150500
1283,6,1971,1971,1824,0,0,139000
1284,6,1919,1990,2447,1,336,169000
1285,6,1939,1950,1412,1,280,132500
1286,6,1963,1963,1328,2,528,143000
1287,5,1964,1964,1582,2,390,190000
1288,8,2000,2000,1659,2,499,278000
1289,8,2006,2006,1970,3,753,281000
1290,5,1964,1964,1152,2,484,180500
1291,5,1972,1972,1302,1,264,119500
1292,5,1892,1965,2372,1,432,107500
1293,7,1976,1976,1664,2,528,162900
1294,5,1955,1990,864,2,572,115000
1295,5,1968,1968,1052,1,288,138500
1296,5,1963,1963,1128,2,525,155000
1297,6,2005,2006,1072,2,525,140000
1298,10,2008,2008,5642,2,1418,160000
1299,5,1959,1994,1246,1,305,154000
1300,7,1999,1999,1983,2,490,225000
1301,6,1942,1950,1494,1,213,177500
1302,8,1994,1994,2526,3,844,290000
1303,7,2005,2005,1616,3,834,232000
1304,7,2004,2004,1708,2,380,130000
1305,9,2006,2007,1652,2,840,325000
1306,7,2005,2006,1368,2,474,202500
1307,5,1994,1995,990,2,480,138000
1308,5,1948,2005,1122,2,528,147000
1309,6,1991,1991,1294,2,496,179200
1310,7,1959,2002,1902,2,567,335000
1311,7,2005,2007,1274,2,508,203000
1312,8,1990,1990,2810,2,750,302000
1313,9,1999,1999,2599,3,779,333168
1314,4,1954,1954,948,1,280,119000
1315,6,1969,1969,2112,2,576,206900
1316,8,2008,2008,1630,3,860,295493
1317,7,2006,2007,1352,2,466,208900
1318,8,2001,2002,1787,3,748,275000
1319,4,1954,1954,948,1,248,111000
1320,6,1957,1957,1478,2,442,156500
1321,3,1949,1950,720,1,287,72500
1322,7,1992,1992,1923,2,564,190000
1323,4,1940,1950,708,0,0,82500
1324,8,2006,2007,1795,3,895,147000
1325,4,1922,1950,796,0,0,55000
1326,3,1931,2006,774,0,0,79000
1327,5,1982,2008,816,1,264,130500
1328,6,1920,1950,2792,2,520,256000
1329,7,1998,1998,1632,2,462,176500
1330,8,2006,2006,1588,3,825,227000
1331,5,1976,1976,954,2,576,132500
1332,4,1938,1958,816,1,288,100000
1333,5,1938,1995,1360,1,297,125500
1334,5,1970,1970,1365,2,440,125000
1335,6,1977,1977,1334,2,630,167900
1336,5,1973,1973,1656,2,506,135000
1337,4,1941,1950,693,0,0,52500
1338,7,2002,2002,1861,2,492,200000
1339,5,1972,1972,864,1,288,128500
1340,4,1971,1971,872,4,480,123000
1341,6,2003,2004,1114,2,576,155000
1342,8,2002,2002,2169,2,647,228500
1343,6,1928,1950,1913,2,342,177000
1344,7,2006,2006,1456,2,440,155835
1345,4,1920,1950,960,1,308,108500
1346,7,1968,2003,2156,2,508,262500
1347,8,2006,2007,1776,3,712,283463
1348,7,1998,1998,1494,2,514,215000
1349,8,1872,1987,2358,0,0,122000
1350,5,1969,1969,2634,4,968,200000
1351,6,1962,1962,1716,2,490,171000
1352,6,1937,2000,1176,2,624,134900
1353,8,1995,1996,3238,3,666,410000
1354,7,2000,2000,1865,3,839,235000
1355,7,1968,1992,1920,2,487,170000
1356,5,1966,1966,892,1,264,110000
1357,5,1971,2008,1078,2,500,149900
1358,6,2000,2000,1573,2,440,177500
1359,9,2004,2005,1980,3,770,315000
1360,5,1921,1998,2601,2,621,189000
1361,7,2005,2005,1530,2,430,260000
1362,4,1920,2007,1738,1,368,104900
1363,6,2006,2007,1412,2,432,156932
1364,7,2005,2005,1200,2,480,144152
1365,7,2000,2000,1674,2,663,216000
1366,7,1999,1999,1790,2,588,193000
1367,5,1977,1977,1475,1,336,127000
1368,6,2003,2004,848,2,420,144000
1369,8,2003,2003,1668,2,502,232000
1370,4,1920,1950,1374,1,338,105000
1371,6,1955,1996,1661,1,377,165500
1372,7,1998,1998,2097,2,583,274300
1373,10,2001,2002,2633,3,804,466500
1374,7,2005,2005,1958,3,936,250000
1375,8,2007,2007,1571,3,722,239000
1376,6,1930,1950,790,1,160,91000
1377,5,1941,1960,1604,2,660,117000
1378,6,1973,1973,987,1,264,83000
1379,5,2006,2007,1394,2,400,167500
1380,3,1914,1950,864,1,200,58500
1381,6,1970,1970,2117,2,550,237500
1382,7,1920,1950,1762,2,576,157000
1383,5,1918,2007,1416,2,576,112000
1384,6,1939,1950,1258,1,280,105000
1385,4,1922,2007,1154,1,240,125500
1386,7,1978,1978,2784,2,564,250000
1387,6,1916,1950,2526,1,216,136000
1388,9,2006,2007,1746,3,758,377500
1389,6,1941,1950,1218,2,440,131000
1390,7,2000,2000,1525,2,541,235000
1391,5,1967,1967,1584,3,792,124000
1392,5,1967,1967,900,1,288,123000
1393,6,1905,2000,1912,2,672,163000
1394,7,2006,2006,1500,3,648,246578
1395,8,2005,2006,2482,3,642,281213
1396,5,1948,1950,1687,2,572,160000
1397,5,1920,2004,1513,1,180,137500
1398,5,1950,1982,1904,1,240,138000
1399,6,1925,1990,1608,1,216,137450
1400,6,1929,1950,1158,1,208,120000
1401,6,2004,2004,1593,2,398,193000
1402,7,2006,2006,1294,2,662,193879
1403,8,2007,2007,1464,3,754,282922
1404,3,1915,1950,1214,3,936,105000
1405,8,2004,2005,1646,2,482,275000
1406,5,1972,2007,768,2,396,133000
1407,5,1985,1985,833,0,0,112000
1408,4,1910,1950,1363,2,528,125500
1409,7,1986,1991,2093,2,542,215000
1410,7,2001,2001,1840,2,622,230000
1411,6,1950,2005,1668,1,271,140000
1412,4,1949,1950,1040,2,420,90000
1413,8,2005,2006,1844,2,620,257000
1414,6,1923,2000,1848,2,370,207000
1415,7,2007,2007,1569,3,660,175900
1416,4,1885,1950,2290,2,560,122500
1417,8,1998,1998,2450,3,1069,340000
1418,5,1963,1963,1144,1,336,124000
1419,6,1969,1969,1844,2,540,223000
1420,6,1968,1968,1416,2,776,179900
1421,6,1977,1977,1069,2,440,127500
1422,6,2003,2003,848,2,420,136500
1423,6,1966,1966,2201,2,432,274970
1424,5,1958,1983,1344,1,484,144000
1425,6,1959,1959,1252,2,528,142000
1426,7,1994,1994,2127,2,525,271000
1427,5,1945,1950,1558,1,288,140000
1428,5,1940,1992,804,1,240,119000
1429,6,1981,1981,1440,2,467,182900
1430,5,2005,2005,1838,2,372,192140
1431,6,1976,1976,958,2,440,143750
1432,4,1927,2007,968,1,216,64500
1433,6,2000,2000,1792,2,451,186500
1434,5,1977,1977,1126,2,484,160000
1435,6,1962,2005,1537,2,462,174000
1436,4,1971,1971,864,2,528,120500
1437,8,2008,2008,1932,3,774,394617
1438,6,1957,1996,1236,2,923,149700
1439,7,1979,1979,1725,2,550,197000
1440,6,1922,1994,2555,2,672,191000
1441,6,2004,2004,848,2,420,149300
1442,10,2008,2008,2007,3,812,310000
1443,6,1916,1950,952,1,192,121000
1444,7,2004,2004,1422,2,626,179600
1445,6,1966,1966,913,1,240,129000
1446,5,1962,1962,1188,1,312,157900
1447,8,1995,1996,2090,2,556,240000
1448,4,1910,2000,1346,1,384,112000
1449,5,1970,1970,630,0,0,92000
1450,5,1974,1974,1792,0,0,136000
1451,8,2008,2009,1578,3,840,287090
1452,5,2005,2005,1072,2,525,145000
1453,5,2006,2006,1140,0,0,84500
1454,7,2004,2005,1221,2,400,185000
1455,6,1999,2000,1647,2,460,175000
1456,6,1978,1988,2073,2,500,210000
1457,7,1941,2006,2340,1,252,266500
1458,5,1950,1996,1078,1,240,142125
1459,5,1965,1965,1256,1,276,147500
